,Average Rank,Film,Year,Rotten Tomatoes' Top 100
0,17,Parasite,2019,6
1,19,Lord of the Rings: The Fellowship of the Ring,2001,unranked
2,23,Avengers: Endgame,2019,7
3,34,Spider-Man: Into the Spider-verse,2018,19
4,37,The Dark Knight,2008,unranked
5,41,Mad Max: Fury Road,2015,18
6,42,Inception,2010,unranked
7,43,Lord of the Rings: Return of the King,2003,unranked
8,49,Lord of the Rings: The Two Towers,2002,unranked
9,55,Interstellar,2014,unranked
10,59,Avengers: Infinity War,2018,unranked
11,60,Gladiator,2000,unranked
12,62,Get Out,2017,15
13,63,Moonlight,2016,20
14,64,Spirited Away,2001,unranked
15,65,Lady Bird,2017,12
16,69,Black Panther,2018,5
17,70,Whiplash,2014,unranked
18,76,Mulholland Drive,2001,unranked
19,77,In the Mood for Love,2000,unranked
20,78,A Quiet Place,2018,29
21,80,Coco,2017,37
22,86,Logan,2017,34
23,87,Thor: Ragnarok,2017,42
24,90,Eternal Sunshine of the Spotless Mind,2004,unranked
